"","q_m3_h","y_cm","slope_m_m","group","slope_perc","q_m3_s","y_m","area","perimeter","radius","radius.root","vel","c.exp","n.Manning","m.Kutter","s.Bazin","Froude","n.Manning.norm","m.Kutter.norm","s.Bazin.norm"
"1",1,2.6,0.001,"g01","0.1",0.000277777777777778,0.026,0.002236,0.138,0.0162028985507246,0.127290606686922,0.124229775392566,30.8623749761741,0.016299318335057,0.285155314228727,0.231537344509693,0.25,1.47806411918034,1.78797023618503,1.9394845825651
"2",2,3.2,0.001,"g01","0.1",0.000555555555555556,0.032,0.002752,0.15,0.0183466666666667,0.135449867724803,0.20187338501292,47.1303299391874,0.0108966344457741,0.151944402375947,0.11458314726285,0.36,0.988134844846984,0.952716135548516,0.959811679660947
"3",3,3.8,0.001,"g01","0.1",0.000833333333333333,0.038,0.003268,0.162,0.0201728395061728,0.142031121611332,0.25499796001632,56.7744831695946,0.00918984069051389,0.108136055053336,0.0756143220869292,0.42,0.833358396124885,0.678030666960485,0.633387293178409
"4",4,4.3,0.001,"g01","0.1",0.00111111111111111,0.043,0.003698,0.172,0.0215,0.146628782986152,0.300462712577369,64.7994550828907,0.00813770089048306,0.0796521059481547,0.0502355903866949,0.46,0.737947652263141,0.499431669614699,0.42080102999096
"5",5,4.9,0.001,"g01","0.1",0.00138888888888889,0.049,0.004214,0.184,0.0229021739130435,0.151334642144631,0.329589200021094,68.8707191882338,0.00773769309228141,0.0684026336213025,0.0398367877717312,0.48,0.701673916039305,0.42889564699979,0.333694920211699
"6",6,5.25,0.001,"g01","0.1",0.00166666666666667,0.0525,0.004515,0.191,0.0236387434554974,0.153748962453401,0.369139904023625,75.9239511827214,0.00705600039822476,0.0487549379078739,0.0224294308609082,0.51,0.639856268780686,0.305701396735695,0.187881291644598
"7",7,5.8,0.001,"g01","0.1",0.00194444444444444,0.058,0.004988,0.202,0.0246930693069307,0.157140285436074,0.389824467611156,78.447942352458,0.00687882544609549,0.0431712596775758,0.0171307588128014,0.52,0.623789588311201,0.270690825352132,0.14349669024419
"8",8,6.1,0.001,"g01","0.1",0.00222222222222222,0.061,0.005246,0.208,0.0252211538461538,0.158811693039757,0.423603168551701,84.3483758058195,0.00642023267472123,0.029468984000618,0.00499249598536935,0.55,0.582203216001025,0.18477532647859,0.0418199017210231
"9",1,2.1,0.003,"g01","0.3",0.000277777777777778,0.021,0.001806,0.128,0.014109375,0.118782890182046,0.153808293343177,23.6409670523865,0.0207931071548144,0.383662250572275,0.318344382274213,0.34,1.88557245033374,2.40562476146161,2.66662823949422
"10",2,2.7,0.003,"g01","0.3",0.000555555555555556,0.027,0.002322,0.14,0.0165857142857143,0.128785536011286,0.239257345200498,33.9185721921517,0.0148885179095356,0.250904786098102,0.201545044223881,0.46,1.35012910708829,1.57321384969856,1.68825252268649
"11",3,3.25,0.003,"g01","0.3",0.000833333333333333,0.0325,0.002795,0.151,0.0185099337748344,0.136051217469137,0.298151460942159,40.010491085385,0.0128546501735427,0.203987641786039,0.159782590082866,0.53,1.16569274834415,1.27903571795425,1.33842715819462
"12",4,3.8,0.003,"g01","0.3",0.00111111111111111,0.038,0.003268,0.162,0.0201728395061728,0.142031121611332,0.33999728002176,43.7050175214231,0.0119379532420754,0.182945573665616,0.140698603279613,0.56,1.08256431225181,1.14709852573024,1.17856915232017
"13",5,4.35,0.003,"g01","0.3",0.00138888888888889,0.0435,0.003741,0.173,0.0216242774566474,0.147051954956904,0.37126139772491,46.094421146237,0.0114509601166187,0.171971369992495,0.130498337749073,0.57,1.03840252276906,1.07828848238091,1.09312609873223
"14",6,4.85,0.003,"g01","0.3",0.00166666666666667,0.0485,0.004171,0.183,0.022792349726776,0.150971353993981,0.399584432190522,48.3229436906659,0.011019066422922,0.161450329089748,0.120835510288863,0.58,0.999237291510258,1.01231984336509,1.01218492303226
"15",7,5.1,0.003,"g01","0.3",0.00194444444444444,0.051,0.004386,0.188,0.0233297872340426,0.152740915389566,0.44332978669504,52.9920713489484,0.0100872836732795,0.135492609931193,0.0980222516394947,0.63,0.914740834615154,0.849560718990089,0.821088477997804
"16",8,5.3,0.003,"g01","0.3",0.00222222222222222,0.053,0.004558,0.192,0.0237395833333333,0.154076550238293,0.487543269465165,57.7718123519102,0.00927960570887786,0.112621938117506,0.0779511346312518,0.68,0.841498518924743,0.706157883959529,0.652961724731366
"17",1,1.85,0.005,"g02","0.5",0.000277777777777778,0.0185,0.001591,0.123,0.0129349593495935,0.11373196274396,0.174593197849012,21.7099979934422,0.0223169270972646,0.410137098774674,0.342034120777251,0.41,2.02375636298135,2.57162636911685,2.86506656351031
"18",2,2.3,0.005,"g02","0.5",0.000555555555555556,0.023,0.001978,0.132,0.0149848484848485,0.122412615709528,0.280867318278845,32.4481564612452,0.015302135098035,0.254843379883727,0.205800100456604,0.59,1.38763697783663,1.59790947383647,1.72389522204796
"19",3,2.7,0.005,"g02","0.5",0.000833333333333333,0.027,0.002322,0.14,0.0165857142857143,0.128785536011286,0.358886017800746,39.4098195682013,0.0128139959807427,0.19799986271,0.155517760876233,0.7,1.16200612155174,1.24149136849065,1.30270259501
"20",4,3.1,0.005,"g02","0.5",0.00111111111111111,0.031,0.002666,0.148,0.0180135135135135,0.134214431092612,0.416770859381512,43.915024408405,0.0116587845419289,0.17140860544366,0.131677610693944,0.76,1.05724857631717,1.07475985705607,1.10300433975662
"21",5,3.6,0.005,"g02","0.5",0.00138888888888889,0.036,0.003096,0.158,0.0195949367088608,0.139981915649347,0.448607522250933,45.3220574391262,0.0114563874795447,0.168878545589338,0.128726685628309,0.75,1.03889469000193,1.05889596994063,1.07828576279779
"22",6,3.85,0.005,"g02","0.5",0.00166666666666667,0.0385,0.003311,0.163,0.0203128834355828,0.142523273312055,0.503372596395852,49.948077686324,0.0104578678805303,0.142819586541546,0.105725014760578,0.82,0.948346363914748,0.895502054980855,0.885611073038045
"23",7,4.2,0.005,"g02","0.5",0.00194444444444444,0.042,0.003612,0.17,0.0212470588235294,0.14576370886997,0.53832902670112,52.2292013891446,0.010076346299755,0.133320988948645,0.0970399782322249,0.84,0.913749005445833,0.835944301945316,0.812860413823976
"24",8,4.55,0.005,"g02","0.5",0.00222222222222222,0.0455,0.003913,0.177,0.0221073446327684,0.148685388094353,0.567907544651731,54.0162393974331,0.00980765284179417,0.12657514420664,0.0907912750075109,0.85,0.88938319142181,0.793646757362452,0.760517826968186
"25",1,1.75,0.007,"g02","0.7",0.000277777777777778,0.0175,0.001505,0.121,0.0124380165289256,0.11152585587623,0.184569952011812,19.7804612513189,0.0243344820625908,0.45229242145941,0.378996045405777,0.45,2.20671343771428,2.8359471041554,3.17468004340387
"26",2,2.1,0.007,"g02","0.7",0.000555555555555556,0.021,0.001806,0.128,0.014109375,0.118782890182046,0.307616586686354,30.9532917198623,0.0158809979117108,0.264965924829524,0.21507857887802,0.68,1.44012974699629,1.66137947833729,1.8016168780776
"27",3,2.6,0.007,"g02","0.7",0.000833333333333333,0.026,0.002236,0.138,0.0162028985507246,0.127290606686922,0.372689326177698,34.9946438810484,0.0143746476181454,0.236452505315018,0.189165900754766,0.74,1.30353002705297,1.48259569672801,1.58455798496709
"28",4,2.9,0.007,"g02","0.7",0.00111111111111111,0.029,0.002494,0.144,0.0173194444444444,0.131603360308331,0.445513677269892,40.4617854494887,0.0125712158476907,0.19365010749185,0.151367156677827,0.84,1.13999019449655,1.21421769524427,1.2679348435348
"29",5,3.1,0.007,"g02","0.7",0.00138888888888889,0.031,0.002666,0.148,0.0180135135135135,0.134214431092612,0.52096357422689,46.3937121565876,0.0110358879238432,0.155080011739668,0.117471734171472,0.94,1.00076270848974,0.972376916655823,0.984008077812337
"30",6,3.5,0.007,"g02","0.7",0.00166666666666667,0.035,0.00301,0.156,0.0192948717948718,0.138905981854173,0.553709856035437,47.6444464356307,0.0108699621241441,0.152641076084342,0.114739958552335,0.94,0.985716130102843,0.95708439310076,0.961125217565481
"31",7,4,0.007,"g02","0.7",0.00194444444444444,0.04,0.00344,0.166,0.0207228915662651,0.143954477409579,0.565245478036176,46.9313340441314,0.0111672308246438,0.162779776669397,0.122904323639131,0.9,1.01267322063459,1.02065569608946,1.02951444542764
"32",8,4.35,0.007,"g02","0.7",0.00222222222222222,0.0435,0.003741,0.173,0.0216242774566474,0.147051954956904,0.594018236359856,48.2814112040695,0.0109322690654845,0.157520656509162,0.117926217018573,0.91,0.991366283837984,0.987680156634913,0.987815076967743
"33",1,1.6,0.01,"g03","1",0.000277777777777778,0.016,0.001376,0.118,0.0116610169491525,0.107986188696298,0.20187338501292,18.6943707755694,0.0254729094854121,0.469653946896922,0.394560729269803,0.51,2.30994896519913,2.94480669465961,3.30505842556379
"34",2,2,0.01,"g03","1",0.000555555555555556,0.02,0.00172,0.126,0.0136507936507937,0.116836610917955,0.322997416020672,27.6452229727449,0.0176836897369565,0.305791960510616,0.250850246224902,0.73,1.60360247941753,1.91736536748916,2.10126010607973
"35",3,2.3,0.01,"g03","1",0.000833333333333333,0.023,0.001978,0.132,0.0149848484848485,0.122412615709528,0.421300977418268,34.4164672061229,0.0144269913259376,0.233267747926836,0.187029300654109,0.89,1.30827668913798,1.4626267495073,1.56666064333908
"36",4,2.8,0.01,"g03","1",0.00111111111111111,0.028,0.002408,0.142,0.0169577464788732,0.130221912437474,0.461424880029531,35.4337354898764,0.014304666952554,0.237286369252666,0.189510292632948,0.88,1.29718400026089,1.48782415934873,1.58744280140786
"37",5,3.1,0.01,"g03","1",0.00138888888888889,0.031,0.002666,0.148,0.0180135135135135,0.134214431092612,0.52096357422689,38.8157644439449,0.0131904089759853,0.211558563501983,0.166608074204685,0.94,1.19614022034192,1.32650662946508,1.39560118016868
"38",6,3.2,0.01,"g03","1",0.00166666666666667,0.032,0.002752,0.15,0.0183466666666667,0.135449867724803,0.60562015503876,44.7117568449172,0.0114860612262975,0.167490292275197,0.128108071475197,1.08,1.04158558169786,1.05019139568893,1.07310390923954
"39",7,3.4,0.01,"g03","1",0.00194444444444444,0.034,0.002924,0.154,0.018987012987013,0.137793370620698,0.66499468004256,48.2602811040222,0.0107025252389651,0.14772790581715,0.11061013988023,1.15,0.970532522597111,0.926278015787372,0.926531577130075
"40",8,3.8,0.01,"g03","1",0.00222222222222222,0.038,0.003268,0.162,0.0201728395061728,0.142031121611332,0.67999456004352,47.8764479452839,0.0108978104685444,0.154630656166446,0.116064625055335,1.11,0.988241489617303,0.96955938406816,0.972221355275146
"41",1,2.6,5e-04,"g03","0.05",0.000277777777777778,0.026,0.002236,0.138,0.0162028985507246,0.127290606686922,0.124229775392566,43.6459892583494,0.011525358523437,0.164352700865264,0.12643907088348,0.25,1.04514916170094,1.03051818682925,1.05912343916555
"42",2,3.2,5e-04,"g03","0.05",0.000555555555555556,0.032,0.002752,0.15,0.0183466666666667,0.135449867724803,0.20187338501292,66.6523517991176,0.00770508410871776,0.0677685695375956,0.0413501726934838,0.36,0.69871684951802,0.424919961985579,0.346371867550113
"43",3,4,5e-04,"g03","0.05",0.000833333333333333,0.04,0.00344,0.166,0.0207228915662651,0.143954477409579,0.242248062015504,75.2575597274484,0.00696399195080632,0.0473279371822871,0.0224612232853445,0.39,0.631512706062594,0.29675386990715,0.188147602537845
"44",4,4.4,5e-04,"g03","0.05",0.00111111111111111,0.044,0.003784,0.174,0.0217471264367816,0.147469069424004,0.293634014564247,89.047231346392,0.00593307573789706,0.0181386279679027,-0.00339037269304511,0.45,0.538026571682047,0.113732149862127,-0.0283996328161889
"45",5,5.1,5e-04,"g03","0.05",0.00138888888888889,0.051,0.004386,0.188,0.0233297872340426,0.152740915389566,0.3166641333536,92.7168108700595,0.00576536284105657,0.0119982661636356,-0.00941782743828057,0.45,0.522817934728773,0.0752310818559709,-0.0788889203013171
"46",6,5.4,5e-04,"g03","0.05",0.00166666666666667,0.054,0.004644,0.194,0.0239381443298969,0.154719566732514,0.358886017800746,103.735235164413,0.00517514017528214,-0.00557104792181756,-0.0249603553672081,0.49,0.469295024955804,-0.0349313772935002,-0.209081712121043
"47",7,6,5e-04,"g03","0.05",0.00194444444444444,0.06,0.00516,0.206,0.0250485436893204,0.15826731718621,0.376830318690784,106.480380606201,0.00507996615371624,-0.0096321260973152,-0.0289547009388715,0.49,0.460664399830084,-0.0603949984932306,-0.242540555099844
"48",8,6.2,5e-04,"g03","0.05",0.00222222222222222,0.062,0.005332,0.21,0.0253904761904762,0.159343892855911,0.416770859381512,116.970654590543,0.00463484150436413,-0.0231183639711701,-0.0408276827261864,0.53,0.420299351473737,-0.144955905175904,-0.341995203222965
